row_kind,backend,mode,mode_name,tracking_mode,pid_tid_cache,alloc_pattern,repeat_index,threads,size,duration,flush_threshold,sample_interval,filter_size,blocked,baseline_ops,with_probe_ops,overhead_pct,records_or_events,malloc_events,calloc_events,realloc_events,free_events,alloc_records,free_records,unmatched_free,ringbuf_drops,observed_events,logs
baseline,none,baseline_no_hook,baseline_no_hook,none,n/a,malloc_only,1,1,32,5,20,1,-1,0,16115489.80,16115489.80,0.0000,0,0,0,0,0,0,0,0,0,0,;
ld_preload,ld_preload,ld_preload_stage6_default,stage6_notify,global,0,malloc_only,1,1,32,5,20,1,-1,0,16115489.80,269060.00,98.3304,2693285,1345300,0,0,1345296,1345300,1345296,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_default_global_cache0_malloc_only_r1_t1_s32_d5.consumer.log
ld_preload,ld_preload,ld_preload_stage6_optimized,stage6_notify,sharded,1,malloc_only,1,1,32,5,20,1,-1,0,16115489.80,676863.60,95.7999,6775403,3384322,0,0,3384318,3384322,3384318,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_optimized_sharded_cache1_malloc_only_r1_t1_s32_d5.consumer.log
ebpf_uprobe,libbpf,libbpf_count_only,libbpf_count_only,none,n/a,malloc_only,1,1,32,5,20,1,-1,0,16115489.80,165570.60,98.9726,1655719,827858,1,0,827860,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_count_only_malloc_only_r1_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_sample_filter,libbpf_sample_filter,none,n/a,malloc_only,1,1,32,5,20,1,-1,0,16115489.80,157520.80,99.0226,787610,787609,1,0,787611,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_sample_filter_malloc_only_r1_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_tracking,libbpf_tracking,none,n/a,malloc_only,1,1,32,5,20,1,-1,0,16115489.80,156196.00,99.0308,1561968,780985,1,0,780987,780986,780982,3,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_tracking_malloc_only_r1_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_ring_output,libbpf_ring_output,none,n/a,malloc_only,1,1,32,5,20,1,-1,0,16115489.80,122261.80,99.2413,1222626,611314,1,0,611316,611315,611311,3,0,1222626,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_ring_output_malloc_only_r1_t1_s32_d5.loader.log;
baseline,none,baseline_no_hook,baseline_no_hook,none,n/a,malloc_only,1,4,32,5,20,1,-1,0,13613198.40,13613198.40,0.0000,0,0,0,0,0,0,0,0,0,0,;
ld_preload,ld_preload,ld_preload_stage6_default,stage6_notify,global,0,malloc_only,1,4,32,5,20,1,-1,0,13613198.40,75688.40,99.4440,757660,378453,0,0,378446,378453,378446,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_default_global_cache0_malloc_only_r1_t4_s32_d5.consumer.log
ld_preload,ld_preload,ld_preload_stage6_optimized,stage6_notify,sharded,1,malloc_only,1,4,32,5,20,1,-1,0,13613198.40,317105.60,97.6706,3174240,1585538,0,0,1585532,1585538,1585532,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_optimized_sharded_cache1_malloc_only_r1_t4_s32_d5.consumer.log
ebpf_uprobe,libbpf,libbpf_count_only,libbpf_count_only,none,n/a,malloc_only,1,4,32,5,20,1,-1,0,13613198.40,560853.40,95.8801,5608571,2804275,4,0,2804292,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_count_only_malloc_only_r1_t4_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_sample_filter,libbpf_sample_filter,none,n/a,malloc_only,1,4,32,5,20,1,-1,0,13613198.40,526018.40,96.1360,2630104,2630100,4,0,2630117,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_sample_filter_malloc_only_r1_t4_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_tracking,libbpf_tracking,none,n/a,malloc_only,1,4,32,5,20,1,-1,0,13613198.40,521120.00,96.1720,5211217,2605608,4,0,2605625,2605612,2605605,12,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_tracking_malloc_only_r1_t4_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_ring_output,libbpf_ring_output,none,n/a,malloc_only,1,4,32,5,20,1,-1,0,13613198.40,441334.00,96.7580,4413357,2206678,4,0,2206695,2206682,2206675,12,0,4413357,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_ring_output_malloc_only_r1_t4_s32_d5.loader.log;
baseline,none,baseline_no_hook,baseline_no_hook,none,n/a,mixed3,1,1,32,5,20,1,-1,0,11864302.00,11864302.00,0.0000,0,0,0,0,0,0,0,0,0,0,;
ld_preload,ld_preload,ld_preload_stage6_default,stage6_notify,global,0,mixed3,1,1,32,5,20,1,-1,0,11864302.00,230266.00,98.0592,2689124,1535110,0,0,1151329,1535110,1151329,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_default_global_cache0_mixed3_r1_t1_s32_d5.consumer.log
ld_preload,ld_preload,ld_preload_stage6_optimized,stage6_notify,sharded,1,mixed3,1,1,32,5,20,1,-1,0,11864302.00,599844.40,94.9441,7005181,3998966,0,0,2999222,3998966,2999222,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_optimized_sharded_cache1_mixed3_r1_t1_s32_d5.consumer.log
ebpf_uprobe,libbpf,libbpf_count_only,libbpf_count_only,none,n/a,mixed3,1,1,32,5,20,1,-1,0,11864302.00,151614.00,98.7221,1768849,505385,252691,252690,758083,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_count_only_mixed3_r1_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_sample_filter,libbpf_sample_filter,none,n/a,mixed3,1,1,32,5,20,1,-1,0,11864302.00,142386.00,98.7999,949246,474625,237311,237310,711943,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_sample_filter_mixed3_r1_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_tracking,libbpf_tracking,none,n/a,mixed3,1,1,32,5,20,1,-1,0,11864302.00,141460.60,98.8077,1650381,471540,235769,235767,707317,943076,707305,10,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_tracking_mixed3_r1_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_ring_output,libbpf_ring_output,none,n/a,mixed3,1,1,32,5,20,1,-1,0,11864302.00,113482.20,99.0435,1323967,378279,189138,189137,567424,756554,567413,9,0,1323967,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_ring_output_mixed3_r1_t1_s32_d5.loader.log;
baseline,none,baseline_no_hook,baseline_no_hook,none,n/a,mixed3,1,4,32,5,20,1,-1,0,8800186.40,8800186.40,0.0000,0,0,0,0,0,0,0,0,0,0,;
ld_preload,ld_preload,ld_preload_stage6_default,stage6_notify,global,0,mixed3,1,4,32,5,20,1,-1,0,8800186.40,49710.80,99.4351,580540,331410,0,0,248548,331410,248548,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_default_global_cache0_mixed3_r1_t4_s32_d5.consumer.log
ld_preload,ld_preload,ld_preload_stage6_optimized,stage6_notify,sharded,1,mixed3,1,4,32,5,20,1,-1,0,8800186.40,292723.60,96.6737,3418521,1951492,0,0,1463614,1951492,1463614,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_optimized_sharded_cache1_mixed3_r1_t4_s32_d5.consumer.log
ebpf_uprobe,libbpf,libbpf_count_only,libbpf_count_only,none,n/a,mixed3,1,4,32,5,20,1,-1,0,8800186.40,461164.80,94.7596,5380318,1537224,768612,768607,2305875,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_count_only_mixed3_r1_t4_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_sample_filter,libbpf_sample_filter,none,n/a,mixed3,1,4,32,5,20,1,-1,0,8800186.40,439367.40,95.0073,2929126,1464565,732284,732277,2196889,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_sample_filter_mixed3_r1_t4_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_tracking,libbpf_tracking,none,n/a,mixed3,1,4,32,5,20,1,-1,0,8800186.40,429336.60,95.1213,5008943,1431131,715564,715560,2146735,2862255,2146688,39,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_tracking_mixed3_r1_t4_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_ring_output,libbpf_ring_output,none,n/a,mixed3,1,4,32,5,20,1,-1,0,8800186.40,355136.40,95.9644,4143274,1183796,591898,591893,1775733,2367587,1775687,38,0,4143274,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_ring_output_mixed3_r1_t4_s32_d5.loader.log;
baseline,none,baseline_no_hook,baseline_no_hook,none,n/a,malloc_only,2,1,32,5,20,1,-1,0,15868672.20,15868672.20,0.0000,0,0,0,0,0,0,0,0,0,0,;
ld_preload,ld_preload,ld_preload_stage6_default,stage6_notify,global,0,malloc_only,2,1,32,5,20,1,-1,0,15868672.20,268311.40,98.3092,2685800,1341561,0,0,1341557,1341561,1341557,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_default_global_cache0_malloc_only_r2_t1_s32_d5.consumer.log
ld_preload,ld_preload,ld_preload_stage6_optimized,stage6_notify,sharded,1,malloc_only,2,1,32,5,20,1,-1,0,15868672.20,672838.60,95.7600,6735104,3364193,0,0,3364188,3364193,3364188,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_optimized_sharded_cache1_malloc_only_r2_t1_s32_d5.consumer.log
ebpf_uprobe,libbpf,libbpf_count_only,libbpf_count_only,none,n/a,malloc_only,2,1,32,5,20,1,-1,0,15868672.20,170459.80,98.9258,1704611,852304,1,0,852306,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_count_only_malloc_only_r2_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_sample_filter,libbpf_sample_filter,none,n/a,malloc_only,2,1,32,5,20,1,-1,0,15868672.20,165683.80,98.9559,828425,828424,1,0,828426,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_sample_filter_malloc_only_r2_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_tracking,libbpf_tracking,none,n/a,malloc_only,2,1,32,5,20,1,-1,0,15868672.20,159842.60,98.9927,1598434,799218,1,0,799220,799219,799215,3,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_tracking_malloc_only_r2_t1_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_ring_output,libbpf_ring_output,none,n/a,malloc_only,2,1,32,5,20,1,-1,0,15868672.20,118821.40,99.2512,1188222,594112,1,0,594114,594113,594109,3,0,1188222,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_ring_output_malloc_only_r2_t1_s32_d5.loader.log;
baseline,none,baseline_no_hook,baseline_no_hook,none,n/a,malloc_only,2,4,32,5,20,1,-1,0,12835339.40,12835339.40,0.0000,0,0,0,0,0,0,0,0,0,0,;
ld_preload,ld_preload,ld_preload_stage6_default,stage6_notify,global,0,malloc_only,2,4,32,5,20,1,-1,0,12835339.40,60867.00,99.5258,609280,304340,0,0,304328,304340,304328,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_default_global_cache0_malloc_only_r2_t4_s32_d5.consumer.log
ld_preload,ld_preload,ld_preload_stage6_optimized,stage6_notify,sharded,1,malloc_only,2,4,32,5,20,1,-1,0,12835339.40,283459.20,97.7916,2837441,1417306,0,0,1417300,1417306,1417300,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_optimized_sharded_cache1_malloc_only_r2_t4_s32_d5.consumer.log
ebpf_uprobe,libbpf,libbpf_count_only,libbpf_count_only,none,n/a,malloc_only,2,4,32,5,20,1,-1,0,12835339.40,548340.60,95.7279,5483443,2741711,4,0,2741728,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_count_only_malloc_only_r2_t4_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_sample_filter,libbpf_sample_filter,none,n/a,malloc_only,2,4,32,5,20,1,-1,0,12835339.40,525984.60,95.9021,2629935,2629931,4,0,2629948,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_sample_filter_malloc_only_r2_t4_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_tracking,libbpf_tracking,none,n/a,malloc_only,2,4,32,5,20,1,-1,0,12835339.40,517077.80,95.9715,5170795,2585397,4,0,2585414,2585401,2585394,12,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_tracking_malloc_only_r2_t4_s32_d5.loader.log;
